시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,9.9,55.3,3.9,37.0,-7.9,1.55,0.69
강세장,저평가형,17,8.1,51.2,2.1,28.1,-6.3,1.34,0.31
강세장,모멘텀형,17,9.7,49.1,3.7,27.0,-6.3,1.66,0.66
강세장,국면대응형,17,11.3,52.6,5.3,31.2,-7.7,1.91,0.93
횡보장,밸런스형,13,6.4,57.7,3.6,24.0,-8.7,1.04,0.74
횡보장,저평가형,13,3.5,52.3,0.8,22.8,-11.4,0.6,0.3
횡보장,모멘텀형,13,6.8,53.5,4.1,31.6,-11.2,0.96,0.68
횡보장,국면대응형,13,7.1,59.6,4.4,25.0,-8.9,1.23,0.88
약세장,밸런스형,11,3.4,50.9,1.4,26.8,-9.5,0.46,0.37
약세장,저평가형,11,2.8,49.5,0.9,30.2,-17.6,0.29,0.21
약세장,모멘텀형,11,0.3,42.7,-1.6,30.0,-13.2,-0.1,-0.55
약세장,국면대응형,11,2.5,51.4,0.6,25.0,-15.2,0.27,0.14
